id,name,name_url,timestamp,price,market_cap,volume24h,circulating_supply,n_wallets,wallets,news_titles,news_urls
1896,0x,0x,2021-04-12 20:29:07.346373+00:00,2.14,1670283588,266393161,781547659,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']",[],[]
7278,Aave,aave,2021-04-12 20:22:02.386288+00:00,408.05,5094513434,649203072,12485052,5,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Safepal']","['DeFi Continues Blistering Growth in February: Flipside Crypto', 'What Are ERC-20 Tokens? Find Out Now as the Decentralized Finance Industry Takes Off']","['https://coinmarketcap.com/alexandria/article/defi-continues-blistering-growth-in-february-flipside-crypto', 'https://coinmarketcap.com/alexandria/article/what-are-erc-20-tokens-find-out-now-as-the-decentralized-finance-industry-takes-off']"
4030,Algorand,algorand,2021-04-12 20:35:09.111517+00:00,1.47,3962628563,509705588,2698362624,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Coinbase', 'Algorand wallet']","['Crypto Staking Guide 2021', 'Hype or Legit? How to Assess if a Blockchain Project Has Real Potential: Flipside Crypto']","['https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021', 'https://coinmarketcap.com/alexandria/article/hype-or-legit-how-to-assess-if-a-blockchain-project-has-real-potential']"
3783,Ankr,ankr,2021-04-12 20:25:25.689066+00:00,0.1617,1131452814,172276602,6996232711,3,"['Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",[],[]
5805,Avalanche,avalanche,2021-04-12 20:20:44.576265+00:00,34.42,4425248621,382143652,128557367,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Avalanche Wallet']",[],[]
3673,BTMX,bitmax-token,2021-04-12 20:24:18.175995+00:00,1.39,1044746615,11246508,749317256,2,"['Trust Wallet', 'MetaMask']",[],[]
1727,Bancor,bancor,2021-04-12 20:26:06.902741+00:00,6.97,1244509487,110598362,178580525,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']",['Crypto Outperforms Traditional Markets With DEX Tokens Leading the Way: A Data Perspective by IntoTheBlock'],['https://coinmarketcap.com/alexandria/article/crypto-outperforms-traditional-markets-with-dex-tokens-leading-the-way-a-data-perspective-by-intotheblock']
1697,Basic Attention Token,basic-attention-token,2021-04-12 20:31:02.559232+00:00,1.42,2123517122,470870025,1492811960,5,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Binance Chain Wallet']",[],[]
4687,Binance USD,binance-usd,2021-04-12 20:21:47.251136+00:00,1.0,5048386043,6586127920,5039070576,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",[],[]
3718,BitTorrent,bittorrent,2021-04-12 20:22:21.104937+00:00,0.008048,5311124723,1195188616,659952625000,2,"['Ledger', 'Tronlink']",[],[]
1,Bitcoin,bitcoin,2021-04-12 20:19:54.329310+00:00,60055.33,1121884604684,51911787755,18680850,10,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'BTC Wallet', 'Electrum', 'Coinbase', 'Cobo', 'Safepal', 'Edge']","['Dire Predictions about Coinbase Made as Stock Market Debut Looms', ""Bitcoin is a 'Caged Bull' That's Ready to Escape... and 2021 is 'Tame' Compared with 2017"", 'MicroStrategy Directors Are Now Going to Get Their Bonuses in Bitcoin', ""This New Study Has a Big Warning When It Comes to Bitcoin's Impact on the Climate"", 'Revealed: Who Made It onto the Forbes List of Crypto Billionaires', ""Trust in Crypto Could 'Rapidly Evaporate' — Disrupting Financial Markets, ECB Official Says"", 'TI Weekly Market Observation: XRP Soars and the Trading Sector Leads the Market', 'Crypto Staking Guide 2021']","['https://coinmarketcap.com/alexandria/article/dire-predictions-about-coinbase-made-as-stock-market-debut-looms', 'https://coinmarketcap.com/alexandria/article/bitcoin-is-a-caged-bull-thats-ready-to-escape-and-2021-is-tame-compared-with-2017', 'https://coinmarketcap.com/alexandria/article/microstrategy-directors-are-now-going-to-get-their-bonuses-in-bitcoin', 'https://coinmarketcap.com/alexandria/article/this-new-study-has-a-big-warning-when-it-comes-to-bitcoins-impact-on-the-climate', 'https://coinmarketcap.com/alexandria/article/revealed-who-made-it-onto-the-forbes-list-of-crypto-billionaires', 'https://coinmarketcap.com/alexandria/article/trust-in-crypto-could-rapidly-evaporate-disrupting-financial-markets-ecb-official-says', 'https://coinmarketcap.com/alexandria/article/ti-weekly-market-observation-xrp-soars-and-the-trading-sector-leads-the-market', 'https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021']"
